Frame,Pixel Count
GMG,1752
KNN,9123
CNT,7677
MOG,4325
MOG2,9311
GMG,2311
KNN,9190
CNT,7654
MOG,4291
MOG2,9277
GMG,2064
KNN,9217
CNT,7648
MOG,4233
MOG2,9233
GMG,1674
KNN,9172
CNT,7592
MOG,4201
MOG2,9444
GMG,1617
KNN,9237
CNT,7608
MOG,4183
MOG2,9361
GMG,1361
KNN,9181
CNT,7536
MOG,4168
MOG2,9306
GMG,2061
KNN,9131
CNT,7456
MOG,4171
MOG2,9332
GMG,1857
KNN,9099
CNT,7448
MOG,4209
MOG2,9307
GMG,1913
KNN,9085
CNT,7512
MOG,4151
MOG2,9303
GMG,1630
KNN,9042
CNT,7556
MOG,4105
MOG2,9300
GMG,1685
KNN,9012
CNT,7550
MOG,4056
MOG2,9222
GMG,1807
KNN,8924
CNT,7443
MOG,3991
MOG2,9349
GMG,2538
KNN,8822
CNT,7394
MOG,3917
MOG2,9355
GMG,2288
KNN,8793
CNT,7361
MOG,3911
MOG2,9365
GMG,1860
KNN,8792
CNT,7355
MOG,3931
MOG2,9337
GMG,1342
KNN,8808
CNT,7346
MOG,3889
MOG2,9352
GMG,1285
KNN,8776
CNT,7393
MOG,3901
MOG2,9344
GMG,2040
KNN,8742
CNT,7338
MOG,3865
MOG2,9360
GMG,1980
KNN,8763
CNT,7322
MOG,3812
MOG2,9257
GMG,1842
KNN,8755
CNT,7304
MOG,3829
MOG2,9280
GMG,1432
KNN,8769
CNT,7284
MOG,3837
MOG2,9225
GMG,1457
KNN,8730
CNT,7335
MOG,3808
MOG2,9202
GMG,2240
KNN,8685
CNT,7302
MOG,3824
MOG2,9149
GMG,2064
KNN,8628
CNT,7287
MOG,3807
MOG2,9174
GMG,1861
KNN,8573
CNT,7283
MOG,3785
MOG2,9077
GMG,1731
KNN,8527
CNT,7252
MOG,3793
MOG2,9029
GMG,1527
KNN,8535
CNT,7242
MOG,3811
MOG2,9143
GMG,2199
KNN,8725
CNT,7341
MOG,3854
MOG2,9112
GMG,2214
KNN,8801
CNT,7339
MOG,3870
MOG2,9346
GMG,2505
KNN,8962
CNT,7463
MOG,3902
MOG2,9351
GMG,1864
KNN,8990
CNT,7499
MOG,3913
MOG2,9285
GMG,1869
KNN,9029
CNT,7491
MOG,4001
MOG2,9303
GMG,2612
KNN,8992
CNT,7552
MOG,4031
MOG2,9428
GMG,2605
KNN,9026
CNT,7656
MOG,4072
MOG2,9327
GMG,2201
KNN,9000
CNT,7673
MOG,4119
MOG2,9374
GMG,2071
KNN,8992
CNT,7680
MOG,4112
MOG2,9404
GMG,2162
KNN,9009
CNT,7740
MOG,4183
MOG2,9323
GMG,2711
KNN,8806
CNT,7603
MOG,4146
MOG2,9263
GMG,2490
KNN,8792
CNT,7585
MOG,4141
MOG2,9263
GMG,2425
KNN,8788
CNT,7541
MOG,4183
MOG2,9367
GMG,2168
KNN,8811
CNT,7584
MOG,4198
MOG2,9322
GMG,2061
KNN,8760
CNT,7577
MOG,4302
MOG2,9401
GMG,2924
KNN,8755
CNT,7563
MOG,4288
MOG2,9350
GMG,2481
KNN,8765
CNT,7568
MOG,4246
MOG2,9248
GMG,2296
KNN,8707
CNT,7533
MOG,4244
MOG2,9155
GMG,1944
KNN,8654
CNT,7519
MOG,4178
MOG2,8924
GMG,1897
KNN,8525
CNT,7437
MOG,4208
MOG2,8977
GMG,2922
KNN,8621
CNT,7425
MOG,4228
MOG2,8906
GMG,2850
KNN,8598
CNT,7425
MOG,4194
MOG2,8846
GMG,2467
KNN,8569
CNT,7442
MOG,4160
MOG2,8669
GMG,1978
KNN,8473
CNT,7407
MOG,4139
MOG2,8599
GMG,1749
KNN,8432
CNT,7391
MOG,4115
MOG2,8580
GMG,2471
KNN,8425
CNT,7379
MOG,4069
MOG2,8505
GMG,2180
KNN,8408
CNT,7329
MOG,4018
MOG2,8740
GMG,2502
KNN,8542
CNT,7313
MOG,3951
MOG2,8679
GMG,1796
KNN,8484
CNT,7253
MOG,3912
MOG2,8648
GMG,1779
KNN,8461
CNT,7192
MOG,3936
MOG2,8701
GMG,2552
KNN,8443
CNT,7194
MOG,3916
MOG2,8672
GMG,2331
KNN,8393
CNT,7209
MOG,3903
MOG2,8603
GMG,2009
KNN,8383
CNT,7183
MOG,3852
MOG2,8647
GMG,1701
KNN,8386
CNT,7225
MOG,3874
MOG2,8612
GMG,1758
KNN,8371
CNT,7220
MOG,3909
MOG2,8580
GMG,3367
KNN,8253
CNT,7208
MOG,3898
MOG2,8593
GMG,3047
KNN,8252
CNT,7190
MOG,3860
MOG2,8491
GMG,2470
KNN,8166
CNT,7122
MOG,3866
MOG2,8463
GMG,1906
KNN,8147
CNT,7139
MOG,3849
MOG2,8425
GMG,1862
KNN,8074
CNT,7097
MOG,3885
MOG2,8398
GMG,2350
KNN,8095
CNT,7090
MOG,3924
MOG2,8387
GMG,2076
KNN,8129
CNT,7114
MOG,3956
MOG2,8309
GMG,1914
KNN,8149
CNT,7138
MOG,3945
MOG2,8355
GMG,1572
KNN,8179
CNT,7192
MOG,3918
MOG2,8383
GMG,1549
KNN,8215
CNT,7212
MOG,3955
MOG2,8482
